"SEQ","JFAGY code","Allergen Term（JP）","Furigana（JP）","Allergen Term（EN）","Level","Main 100","Clinical Guideline","変更区分","収載日","終了日"
"174","GCM1174002F1ZZZ","【成分名】クロミプラミン塩酸塩","","","1","","","1","00000000","99999999"
"175","GCM1174004F1ZZZ","【成分名】ロフェプラミン塩酸塩","","","1","","","1","00000000","99999999"
"176","GCM1174005B1ZZZ","【成分名】トリミプラミンマレイン酸塩","","","1","","","1","00000000","99999999"
"177","GCM1174006F1ZZZ","【成分名】イミプラミン塩酸塩","","","1","","","1","00000000","99999999"
"178","GCM1179001C1ZZZ","【成分名】アモキサピン","","","1","","","1","00000000","99999999"
"179","GCM1179002F1ZZZ","【成分名】アミトリプチリン塩酸塩","","","1","","","1","00000000","99999999"
"180","GCM1179004F1ZZZ","【成分名】ノルトリプチリン塩酸塩","","","1","","","1","00000000","99999999"
"181","GCM1179005F1ZZZ","【成分名】ヒドロキシジン塩酸塩","","","1","","","1","00000000","99999999"
"182","GCM1179006B1ZZZ","【成分名】ピパンペロン塩酸塩","","","1","","","1","00000000","99999999"
"183","GCM1179008F1ZZZ","【成分名】マプロチリン塩酸塩","","","1","","","1","00000000","99999999"
"184","GCM1179009F1ZZZ","【成分名】メチルフェニデート塩酸塩","","","1","","","1","00000000","99999999"
"185","GCM1179011B1ZZZ","【成分名】オキシペルチン","","","1","","","1","00000000","99999999"
"186","GCM1179012D1ZZZ","【成分名】クロチアゼパム","","","1","","","1","00000000","99999999"
"187","GCM1179015F1ZZZ","【成分名】スピペロン","","","1","","","1","00000000","99999999"
"188","GCM1179016F1ZZZ","【成分名】スルピリド","","","1","","","1","00000000","99999999"
"189","GCM1179017F1ZZZ","【成分名】炭酸リチウム","","","1","","","1","00000000","99999999"
"190","GCM1179019B1ZZZ","【成分名】ヒドロキシジンパモ酸塩","","","1","","","1","00000000","99999999"
"191","GCM1179020C1ZZZ","【成分名】ハロペリドール","","","1","","","1","00000000","99999999"
"192","GCM1179022C1ZZZ","【成分名】ピモジド","","","1","","","1","00000000","99999999"
"193","GCM1179023F1ZZZ","【成分名】ペモリン","","","1","","","1","00000000","99999999"
"194","GCM1179024C1ZZZ","【成分名】ゾテピン","","","1","","","1","00000000","99999999"
"195","GCM1179025C1ZZZ","【成分名】エチゾラム","","","1","","","1","00000000","99999999"
"196","GCM1179026C1ZZZ","【成分名】チミペロン","","","1","","","1","00000000","99999999"
"197","GCM1179027F1ZZZ","【成分名】ドスレピン塩酸塩","","","1","","","1","00000000","99999999"
"198","GCM1179028C1ZZZ","【成分名】ブロムペリドール","","","1","","","1","00000000","99999999"
"199","GCM1179030D1ZZZ","【成分名】クロカプラミン塩酸塩水和物","","","1","","","1","00000000","99999999"
"200","GCM1179032C1ZZZ","【成分名】スルトプリド塩酸塩","","","1","","","1","00000000","99999999"
"201","GCM1179033F1ZZZ","【成分名】ミアンセリン塩酸塩","","","1","","","1","00000000","99999999"
"202","GCM1179034F1ZZZ","【成分名】セチプチリンマレイン酸塩","","","1","","","1","00000000","99999999"
"203","GCM1179035D1ZZZ","【成分名】モサプラミン塩酸塩","","","1","","","1","00000000","99999999"
"204","GCM1179036F1ZZZ","【成分名】ネモナプリド","","","1","","","1","00000000","99999999"
"205","GCM1179037F1ZZZ","【成分名】トラゾドン塩酸塩","","","1","","","1","00000000","99999999"
"206","GCM1179038C1ZZZ","【成分名】リスペリドン","","","1","","","1","00000000","99999999"
"207","GCM1179039F1ZZZ","【成分名】フルボキサミンマレイン酸塩","","","1","","","1","00000000","99999999"
"208","GCM1179040F1ZZZ","【成分名】ミルナシプラン塩酸塩","","","1","","","1","00000000","99999999"
"209","GCM1179041F1ZZZ","【成分名】パロキセチン塩酸塩水和物","","","1","","","1","00000000","99999999"
"210","GCM1179042C1ZZZ","【成分名】クエチアピンフマル酸塩","","","1","","","1","00000000","99999999"
"211","GCM1179043F1ZZZ","【成分名】ペロスピロン塩酸塩水和物","","","1","","","1","00000000","99999999"
"212","GCM1179044C1ZZZ","【成分名】オランザピン","","","1","","","1","00000000","99999999"
"213","GCM1179045B1ZZZ","【成分名】アリピプラゾール","","","1","","","1","00000000","99999999"
"214","GCM1179046F1ZZZ","【成分名】セルトラリン塩酸塩","","","1","","","1","00000000","99999999"
"215","GCM1179047F1ZZZ","【成分名】モダフィニル","","","1","","","1","00000000","99999999"
"216","GCM1179048B1ZZZ","【成分名】ブロナンセリン","","","1","","","1","00000000","99999999"
"217","GCM1179049F1ZZZ","【成分名】クロザピン","","","1","","","1","00000000","99999999"
"218","GCM1179050F1ZZZ","【成分名】アトモキセチン塩酸塩","","","1","","","1","00000000","99999999"
"219","GCM1179051F1ZZZ","【成分名】ミルタザピン","","","1","","","1","00000000","99999999"
"220","GCM1179052F1ZZZ","【成分名】デュロキセチン塩酸塩","","","1","","","1","00000000","99999999"
"221","GCM1179053G1ZZZ","【成分名】パリペリドン","","","1","","","1","00000000","99999999"
"222","GCM1179054F1ZZZ","【成分名】エスシタロプラムシュウ酸塩","","","1","","","1","00000000","99999999"
"223","GCM1179055N1ZZZ","【成分名】ベンラファキシン塩酸塩","","","1","","","1","00000000","99999999"
"224","GCM1179056F1ZZZ","【成分名】アセナピンマレイン酸塩","","","1","","","1","00000000","99999999"
"225","GCM1179057G1ZZZ","【成分名】グアンファシン塩酸塩","","","1","","","1","00000000","99999999"
"226","GCM1179058F1ZZZ","【成分名】ブレクスピプラゾール","","","1","","","1","00000000","99999999"
"227","GCM1179059M1ZZZ","【成分名】リスデキサンフェタミンメシル酸塩","","","1","","","1","00000000","99999999"
"228","GCM1179060F1ZZZ","【成分名】ボルチオキセチン臭化水素酸塩","","","1","","","1","00000000","99999999"
"229","GCM1179061F1ZZZ","【成分名】ルラシドン塩酸塩","","","1","","","1","00000000","99999999"
"230","GCM1179406A1ZZZ","【成分名】ハロペリドールデカン酸エステル","","","1","","","1","00000000","99999999"
"231","GCM1179409G1ZZZ","【成分名】パリペリドンパルミチン酸エステル","","","1","","","1","00000000","99999999"
"232","GCM1179410E1ZZZ","【成分名】アリピプラゾール水和物","","","1","","","1","00000000","99999999"
"233","GCM1180101D1ZZZ","【成分名】非ピリン系感冒剤","","","1","","","1","00000000","99999999"
"234","GCM1190004C1ZZZ","【成分名】チアプリド塩酸塩","","","1","","","1","00000000","99999999"
"235","GCM1190008F1ZZZ","【成分名】マジンドール","","","1","","","1","00000000","99999999"
"236","GCM1190010F1ZZZ","【成分名】テルグリド","","","1","","","1","00000000","99999999"
"237","GCM1190011F1ZZZ","【成分名】リルゾール","","","1","","","1","00000000","99999999"
"238","GCM1190012C1ZZZ","【成分名】ドネペジル塩酸塩","","","1","","","1","00000000","99999999"
"239","GCM1190013S1ZZZ","【成分名】ピラセタム","","","1","","","1","00000000","99999999"
"240","GCM1190014F1ZZZ","【成分名】タルチレリン水和物","","","1","","","1","00000000","99999999"
"241","GCM1190015F1ZZZ","【成分名】ナルフラフィン塩酸塩","","","1","","","1","00000000","99999999"
"242","GCM1190016F1ZZZ","【成分名】ラメルテオン","","","1","","","1","00000000","99999999"
"243","GCM1190017F1ZZZ","【成分名】プレガバリン","","","1","","","1","00000000","99999999"
"244","GCM1190018F1ZZZ","【成分名】メマンチン塩酸塩","","","1","","","1","00000000","99999999"
"245","GCM1190019F1ZZZ","【成分名】ガランタミン臭化水素酸塩","","","1","","","1","00000000","99999999"
"246","GCM1190020F1ZZZ","【成分名】ガバペンチン　エナカルビル","","","1","","","1","00000000","99999999"
"247","GCM1190021F1ZZZ","【成分名】テトラベナジン","","","1","","","1","00000000","99999999"
"248","GCM1190022H1ZZZ","【成分名】アカンプロサートカルシウム","","","1","","","1","00000000","99999999"
"249","GCM1190023F1ZZZ","【成分名】スボレキサント","","","1","","","1","00000000","99999999"
"250","GCM1190024M1ZZZ","【成分名】フマル酸ジメチル","","","1","","","1","00000000","99999999"
"251","GCM1190025F1ZZZ","【成分名】ナルメフェン塩酸塩水和物","","","1","","","1","00000000","99999999"
"252","GCM1190026F1ZZZ","【成分名】ミロガバリンベシル酸塩","","","1","","","1","00000000","99999999"
"253","GCM1190027F1ZZZ","【成分名】レンボレキサント","","","1","","","1","00000000","99999999"
"254","GCM1190028D1ZZZ","【成分名】メラトニン","","","1","","","1","00000000","99999999"
"255","GCM1190029R1ZZZ","【成分名】リスジプラム","","","1","","","1","00000000","99999999"
"256","GCM1190030F1ZZZ","【成分名】ラスミジタンコハク酸塩","","","1","","","1","00000000","99999999"
"257","GCM1190031M1ZZZ","【成分名】バルベナジントシル酸塩","","","1","","","1","00000000","99999999"
"258","GCM1190032S1ZZZ","【成分名】エダラボン","","","1","","","1","00000000","99999999"
